Campaign_ID,Campaign_Name,Channel,Budget,Start_Date,End_Date
1,Summer Splash Promo,Twitter,17992,2023-01-25,2023-03-21
2,Back to School Bonanza,Twitter,46505,2023-02-16,2023-04-20
3,Winter Warm-Up Sale,Facebook,39616,2023-01-11,2023-04-10
4,Cyber Monday Madness,Facebook,39956,2023-02-05,2023-04-30
5,Black Friday Frenzy,LinkedIn,30758,2023-01-18,2023-04-20
6,Spring Forward Deals,LinkedIn,18478,2023-01-09,2023-05-04
7,Holiday Cheer Campaign,Twitter,26366,2023-02-03,2023-05-14
8,New Year,Twitter,19796,2023-02-17,2023-05-31
9,Tech Tuesday Spotlight,LinkedIn,41708,2023-02-21,2023-05-16
10,Super Saver Weekend,Twitter,31600,2023-01-22,2023-04-26
11,Fitness First Promo,LinkedIn,28549,2023-01-16,2023-05-05
12,Luxury Living Sale,Twitter,10835,2023-02-23,2023-03-20
13,Easter Egg Deals,Instagram,11195,2023-02-05,2023-03-15
14,Midsummer Magic Campaign,Google,44255,2023-01-14,2023-03-31
15,Winter Wonderland Sale,Google,16946,2023-02-17,2023-04-19
16,Green Earth Initiative,Google,6209,2023-01-01,2023-04-18
17,Wellness Wednesday,Google,6756,2023-01-06,2023-04-10
18,Fashion Forward Fridays,LinkedIn,5993,2023-01-09,2023-05-02
19,Weekend Warrior Sale,Google,9701,2023-01-22,2023-05-18
20,Holiday Season Super Sale,Instagram,5129,2023-01-02,2023-05-23
21,Gadget Galore Campaign,LinkedIn,34717,2023-02-26,2023-03-31
22,Backyard Bliss Promo,Google,36088,2023-02-14,2023-06-01
23,Sizzling Summer Discounts,Twitter,26916,2023-03-01,2023-03-29
24,End of Year Extravaganza,Facebook,47449,2023-02-21,2023-04-18
25,Fall Into Savings,Facebook,29144,2023-01-07,2023-04-21
26,New Arrivals Campaign,Instagram,8146,2023-02-19,2023-05-13
27,Eco-Friendly Future,Instagram,28633,2023-02-18,2023-04-02
28,Flash Sale Extravaganza,Instagram,19197,2023-01-07,2023-03-25
29,Shop & Save Saturdays,Google,16949,2023-02-21,2023-05-21
30,Student Discount Special,Facebook,49081,2023-02-22,2023-05-12
31,Exclusive VIP Offers,LinkedIn,9742,2023-02-05,2023-04-06
32,Travel Tuesday Deals,LinkedIn,28036,2023-01-15,2023-03-20
33,Luxury Lifestyle Event,Google,28165,2023-01-03,2023-04-11
34,Bargain Hunter's Paradise,LinkedIn,6432,2023-01-06,2023-04-16
35,New Product Launch,Twitter,47790,2023-01-07,2023-04-16
36,Weekend Savings Bonanza,Facebook,31913,2023-01-11,2023-03-19
37,Healthy Living Promo,Instagram,5832,2023-02-25,2023-04-01
38,Memorial Day Sales,Facebook,42471,2023-02-03,2023-04-18
39,Halloween Haunt Sale,Google,11529,2023-01-17,2023-04-16
40,Labor Day Weekend Event,Facebook,33837,2023-02-07,2023-04-23
41,Adventure Awaits,Google,29027,2023-02-19,2023-04-21
42,Spring Clean Savings,Facebook,17156,2023-01-01,2023-06-01
43,Summer Essentials Campaign,Instagram,45355,2023-01-26,2023-05-16
44,Outdoor Adventure Sale,Google,6658,2023-02-06,2023-03-15
45,Tech Upgrade Event,LinkedIn,48779,2023-02-23,2023-06-01
46,Fashionista's Delight,LinkedIn,5567,2023-01-06,2023-03-27
47,Home & Garden Event,Twitter,42062,2023-02-06,2023-04-29
48,All-Star Savings,Facebook,11342,2023-02-19,2023-04-29
49,Weekend Flash Deals,Google,6894,2023-01-26,2023-03-22
50,Gift Giving Galore,LinkedIn,33669,2023-02-07,2023-05-14
